@relation lucene-2.4-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute wmc {'\'(-inf-17.5]\'','\'(17.5-34]\'','\'(34-50.5]\'','\'(50.5-67]\'','\'(67-83.5]\'','\'(83.5-100]\'','\'(100-116.5]\'','\'(116.5-133]\'','\'(133-149.5]\'','\'(149.5-inf)\''}
@attribute dit {'\'(-inf-1.4]\'','\'(1.4-1.8]\'','\'(1.8-2.2]\'','\'(2.2-2.6]\'','\'(2.6-3]\'','\'(3-3.4]\'','\'(3.4-3.8]\'','\'(3.8-4.2]\'','\'(4.2-4.6]\'','\'(4.6-inf)\''}
@attribute noc {'\'(-inf-1.7]\'','\'(1.7-3.4]\'','\'(3.4-5.1]\'','\'(5.1-6.8]\'','\'(6.8-8.5]\'','\'(8.5-10.2]\'','\'(10.2-11.9]\'','\'(11.9-13.6]\'','\'(13.6-15.3]\'','\'(15.3-inf)\''}
@attribute cbo {'\'(-inf-12.8]\'','\'(12.8-25.6]\'','\'(25.6-38.4]\'','\'(38.4-51.2]\'','\'(51.2-64]\'','\'(64-76.8]\'','\'(76.8-89.6]\'','\'(89.6-102.4]\'','\'(102.4-115.2]\'','\'(115.2-inf)\''}
@attribute rfc {'\'(-inf-40.1]\'','\'(40.1-79.2]\'','\'(79.2-118.3]\'','\'(118.3-157.4]\'','\'(157.4-196.5]\'','\'(196.5-235.6]\'','\'(235.6-274.7]\'','\'(274.7-313.8]\'','\'(313.8-352.9]\'','\'(352.9-inf)\''}
@attribute lcom {'\'(-inf-674.7]\'','\'(674.7-1349.4]\'','\'(1349.4-2024.1]\'','\'(2024.1-2698.8]\'','\'(2698.8-3373.5]\'','\'(3373.5-4048.2]\'','\'(4048.2-4722.9]\'','\'(4722.9-5397.6]\'','\'(5397.6-6072.3]\'','\'(6072.3-inf)\''}
@attribute ca {'\'(-inf-10.4]\'','\'(10.4-20.8]\'','\'(20.8-31.2]\'','\'(31.2-41.6]\'','\'(41.6-52]\'','\'(52-62.4]\'','\'(62.4-72.8]\'','\'(72.8-83.2]\'','\'(83.2-93.6]\'','\'(93.6-inf)\''}
@attribute ce {'\'(-inf-4.6]\'','\'(4.6-9.2]\'','\'(9.2-13.8]\'','\'(13.8-18.4]\'','\'(18.4-23]\'','\'(23-27.6]\'','\'(27.6-32.2]\'','\'(32.2-36.8]\'','\'(36.8-41.4]\'','\'(41.4-inf)\''}
@attribute npm {'\'(-inf-8.8]\'','\'(8.8-17.6]\'','\'(17.6-26.4]\'','\'(26.4-35.2]\'','\'(35.2-44]\'','\'(44-52.8]\'','\'(52.8-61.6]\'','\'(61.6-70.4]\'','\'(70.4-79.2]\'','\'(79.2-inf)\''}
@attribute lcom3 {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-1]\'','\'(1-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute loc {'\'(-inf-848.3]\'','\'(848.3-1695.6]\'','\'(1695.6-2542.9]\'','\'(2542.9-3390.2]\'','\'(3390.2-4237.5]\'','\'(4237.5-5084.8]\'','\'(5084.8-5932.1]\'','\'(5932.1-6779.4]\'','\'(6779.4-7626.7]\'','\'(7626.7-inf)\''}
@attribute dam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute moa {'\'(-inf-1.3]\'','\'(1.3-2.6]\'','\'(2.6-3.9]\'','\'(3.9-5.2]\'','\'(5.2-6.5]\'','\'(6.5-7.8]\'','\'(7.8-9.1]\'','\'(9.1-10.4]\'','\'(10.4-11.7]\'','\'(11.7-inf)\''}
@attribute mfa {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute cam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute ic {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-1]\'','\'(1-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute cbm {'\'(-inf-1.5]\'','\'(1.5-3]\'','\'(3-4.5]\'','\'(4.5-6]\'','\'(6-7.5]\'','\'(7.5-9]\'','\'(9-10.5]\'','\'(10.5-12]\'','\'(12-13.5]\'','\'(13.5-inf)\''}
@attribute amc {'\'(-inf-23.72]\'','\'(23.72-47.44]\'','\'(47.44-71.16]\'','\'(71.16-94.88]\'','\'(94.88-118.6]\'','\'(118.6-142.32]\'','\'(142.32-166.04]\'','\'(166.04-189.76]\'','\'(189.76-213.48]\'','\'(213.48-inf)\''}
@attribute max_cc {'\'(-inf-11.2]\'','\'(11.2-22.4]\'','\'(22.4-33.6]\'','\'(33.6-44.8]\'','\'(44.8-56]\'','\'(56-67.2]\'','\'(67.2-78.4]\'','\'(78.4-89.6]\'','\'(89.6-100.8]\'','\'(100.8-inf)\''}
@attribute avg_cc {'\'(-inf-1.62]\'','\'(1.62-3.24]\'','\'(3.24-4.86]\'','\'(4.86-6.48]\'','\'(6.48-8.1]\'','\'(8.1-9.72]\'','\'(9.72-11.34]\'','\'(11.34-12.96]\'','\'(12.96-14.58]\'','\'(14.58-inf)\''}
@attribute bug {N,Y}

@data
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(0.2-0.4]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.7-0.8]\'','\'(0.4-0.5]\'','\'(0.8-1]\'','\'(1.5-3]\'','\'(71.16-94.88]\'','\'(22.4-33.6]\'','\'(6.48-8.1]\'',N
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(3.4-5.1]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.4-0.5]\'','\'(0.3-0.4]\'','\'(1.8-inf)\'','\'(1.5-3]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(6.8-8.5]\'','\'(12.8-25.6]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(20.8-31.2]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(1.8-inf)\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.6-0.7]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(12.8-25.6]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(9.2-13.8]\'','\'(-inf-8.8]\'','\'(0.8-1]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(3.9-5.2]\'','\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(23.72-47.44]\'','\'(11.2-22.4]\'','\'(1.62-3.24]\'',N
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(1.7-3.4]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(1.8-inf)\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(2.6-3]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(8.8-17.6]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(1.3-2.6]\'','\'(0.5-0.6]\'','\'(0.2-0.3]\'','\'(1.8-inf)\'','\'(1.5-3]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(2.6-3]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(0.6-0.8]\'','\'(-inf-848.3]\'','\'(0.4-0.5]\'','\'(-inf-1.3]\'','\'(0.7-0.8]\'','\'(0.4-0.5]\'','\'(0.8-1]\'','\'(1.5-3]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.6-0.7]\'','\'(0.2-0.3]\'','\'(1.8-inf)\'','\'(1.5-3]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(3.8-4.2]\'','\'(-inf-1.7]\'','\'(12.8-25.6]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(13.8-18.4]\'','\'(8.8-17.6]\'','\'(-inf-0.2]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.5-0.6]\'','\'(0.2-0.3]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(17.5-34]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(40.1-79.2]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(9.2-13.8]\'','\'(17.6-26.4]\'','\'(-inf-0.2]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.7-0.8]\'','\'(0.1-0.2]\'','\'(0.8-1]\'','\'(7.5-9]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(47.44-71.16]\'','\'(-inf-11.2]\'','\'(1.62-3.24]\'',Y
'\'(-inf-17.5]\'','\'(2.6-3]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(1.4-1.6]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.9-inf)\'','\'(0.5-0.6]\'','\'(0.8-1]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(1.8-inf)\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-0.9]\'','\'(0.5-0.6]\'','\'(0.8-1]\'','\'(1.5-3]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(1.62-3.24]\'',N
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(12.8-25.6]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(13.8-18.4]\'','\'(-inf-8.8]\'','\'(0.2-0.4]\'','\'(-inf-848.3]\'','\'(0.3-0.4]\'','\'(5.2-6.5]\'','\'(0.4-0.5]\'','\'(0.4-0.5]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(94.88-118.6]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(8.8-17.6]\'','\'(0.2-0.4]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(0.8-1]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(0.6-0.8]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.6-0.7]\'','\'(0.5-0.6]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(0.8-1]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(1.3-2.6]\'','\'(0.4-0.5]\'','\'(0.3-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(8.8-17.6]\'','\'(0.6-0.8]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(1.3-2.6]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(0.8-1]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.6-0.7]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(17.5-34]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(12.8-25.6]\'','\'(40.1-79.2]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(13.8-18.4]\'','\'(-inf-8.8]\'','\'(0.6-0.8]\'','\'(848.3-1695.6]\'','\'(0.2-0.3]\'','\'(10.4-11.7]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(71.16-94.88]\'','\'(11.2-22.4]\'','\'(3.24-4.86]\'',N
'\'(17.5-34]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(12.8-25.6]\'','\'(40.1-79.2]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(13.8-18.4]\'','\'(17.6-26.4]\'','\'(0.6-0.8]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.7-0.8]\'','\'(0.1-0.2]\'','\'(0.8-1]\'','\'(7.5-9]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(3.8-4.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(1.8-inf)\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(2.6-3]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(1.3-2.6]\'','\'(0.5-0.6]\'','\'(0.3-0.4]\'','\'(0.8-1]\'','\'(1.5-3]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(2.6-3]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(40.1-79.2]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(8.8-17.6]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.5-0.6]\'','\'(0.2-0.3]\'','\'(1.8-inf)\'','\'(1.5-3]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(1.62-3.24]\'',Y
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(12.8-25.6]\'','\'(40.1-79.2]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(9.2-13.8]\'','\'(-inf-8.8]\'','\'(0.8-1]\'','\'(-inf-848.3]\'','\'(0.4-0.5]\'','\'(-inf-1.3]\'','\'(0.4-0.5]\'','\'(0.2-0.3]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(1.3-2.6]\'','\'(0.6-0.7]\'','\'(0.6-0.7]\'','\'(0.8-1]\'','\'(-inf-1.5]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(-inf-0.2]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(1.62-3.24]\'',Y
'\'(34-50.5]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(40.1-79.2]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(0.6-0.8]\'','\'(2542.9-3390.2]\'','\'(0.2-0.3]\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(71.16-94.88]\'','\'(100.8-inf)\'','\'(6.48-8.1]\'',Y
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(1.8-inf)\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.6-0.7]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.6-0.7]\'','\'(0.2-0.3]\'','\'(1.8-inf)\'','\'(1.5-3]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(3.4-5.1]\'','\'(25.6-38.4]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(31.2-41.6]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(1.8-inf)\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.5-0.6]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(1.7-3.4]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(-inf-4.6]\'','\'(-inf-8.8]\'','\'(0.2-0.4]\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.4-0.5]\'','\'(0.4-0.5]\'','\'(0.8-1]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(1.8-2.2]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(-inf-0.2]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.3-0.4]\'','\'(0.5-0.6]\'','\'(0.8-1]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',N
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(12.8-25.6]\'','\'(40.1-79.2]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(9.2-13.8]\'','\'(-inf-8.8]\'','\'(0.6-0.8]\'','\'(-inf-848.3]\'','\'(0.5-0.6]\'','\'(3.9-5.2]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(94.88-118.6]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(2.6-3]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(1.3-2.6]\'','\'(0.4-0.5]\'','\'(0.2-0.3]\'','\'(0.8-1]\'','\'(1.5-3]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(2.6-3]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(1.8-inf)\'','\'(-inf-848.3]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.9-inf)\'','\'(0.8-0.9]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(1.62-3.24]\'',Y
'\'(-inf-17.5]\'','\'(2.6-3]\'','\'(-inf-1.7]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(4.6-9.2]\'','\'(-inf-8.8]\'','\'(0.6-0.8]\'','\'(-inf-848.3]\'','\'(0.3-0.4]\'','\'(-inf-1.3]\'','\'(0.7-0.8]\'','\'(0.3-0.4]\'','\'(1.8-inf)\'','\'(1.5-3]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(1.62-3.24]\'',Y
'\'(17.5-34]\'','\'(-inf-1.4]\'','\'(-inf-1.7]\'','\'(12.8-25.6]\'','\'(40.1-79.2]\'','\'(-inf-674.7]\'','\'(-inf-10.4]\'','\'(13.8-18.4]\'','\'(-inf-8.8]\'','\'(0.8-1]\'','\'(848.3-1695.6]\'','\'(0.8-0.9]\'','\'(3.9-5.2]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(23.72-47.44]\'','\'(-inf-11.2]\'','\'(-inf-1.62]\'',Y
'\'(-inf-17.5]\'','\'(-inf-1.4]\'','\'(8.5-10.2]\'','\'(-inf-12.8]\'','\'(-inf-40.1]\'','\'(-inf-674.7]\'','\'(10.4-20.8]\'','\'(-inf-4.6]\'','\'(8.8-17.6]\'','\'(0.4-0.6]\'','\'(-inf-848.3]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.2]\'','\'(-inf-1.5]\'','\'(-inf-23.72]\'','\'(-inf-11.2]\'','\'(1.62-3.24]\'',Y
